"Nom","Identifiant","Type","Sous-type","Sous-type","Commune","Code postal","Code INSEE","Département","Région","Latitude","Longitude","Site internet","Créateur","Mise à jour","Mise à jour DATAtourisme"
"Paris Marriott Champs-Elysees Hotel","54ebce35-a39c-e741-31a1-501b9f99fd98","Lieu","Hébergement","Hôtellerie","Paris","75008","75056","Paris","Île-de-France","48.87088","2.3050768","https://www.marriott.com/fr/hotels/travel/pardt-paris-marriottchamps-elysees-hotel/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.174Z"
"Mercure Paris Centre Tour Eiffel","d82fe3c2-ad95-c809-e98b-501b9f234dd6","Lieu","Hébergement","Hôtellerie","Paris","75015","75056","Paris","Île-de-France","48.855247","2.2919128","https://all.accor.com/hotel/2175/index.fr.shtml","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.176Z"
"Hôtel Bourgogne & Montana","8acef061-18a2-6627-6b83-501ba0cb0e2a","Lieu","Hébergement","Hôtellerie","Paris","75007","75056","Paris","Île-de-France","48.860157","2.3183339","https://www.bourgogne-montana.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.177Z"
"Shangri-La Paris","68077325-cee0-6373-5b42-501b9f4a0f0f","Lieu","Hébergement","Hôtellerie","Paris","75116","75056","Paris","Île-de-France","48.863922","2.2933967","http://www.shangri-la.com/fr/paris/shangrila/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.177Z"
"Residhome Paris Gare de Lyon - Jacqueline de Romilly","2e19cf16-738a-11e7-aeae-0050569a22ea","Lieu","Hébergement","Hébergement collectif","Paris","75012","75056","Paris","Île-de-France","48.842068","2.3840668","https://www.myresidhome.com/paris/residhome-paris-gare-de-lyon-jacqueline-de-romilly/apparthotel-residence-hoteliere.html","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.177Z"
"Adagio access Paris La Villette","51510305-1def-44e6-8f10-501ba0b4e0db","Lieu","Hébergement","Hébergement collectif","Paris","75019","75056","Paris","Île-de-France","48.896626","2.3849802","https://www.adagio-city.com/fr/hotel-8368-aparthotel-adagio-access-paris-la-villette/index.shtml","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.173Z"
"Adagio Paris Buttes-Chaumont","6acd4232-9dfe-9b3b-5a8c-501ba03e3654","Lieu","Hébergement","Hébergement collectif","Paris","75019","75056","Paris","Île-de-France","48.87794","2.3873737","http://www.adagio-city.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.171Z"
"Adagio Original Paris Montmartre","4e7508e3-3029-1216-d2f3-501ba0398d8a","Lieu","Hébergement","Hébergement locatif","Paris","75018","75056","Paris","Île-de-France","48.883404","2.342898","http://www.adagio-city.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.175Z"
"Citadines République Paris","5e15c482-cf11-d86c-3771-501ba07e1df7","Lieu","Hébergement","Hébergement collectif","Paris","75011","75056","Paris","Île-de-France","48.864517","2.3749137","https://www.discoverasr.com/fr/citadines/france/citadines-republique-paris","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.177Z"
"Citadines Austerlitz Paris","6f0d46ed-e084-e5fd-0ffb-501ba00ddd39","Lieu","Hébergement","Hébergement collectif","Paris","75013","75056","Paris","Île-de-France","48.834904","2.360363","https://www.discoverasr.com/fr/citadines/france/citadines-austerlitz-paris/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.175Z"
"Hôtel Madeleine Haussmann - Emeraude Hotels","1192a260-f2be-f4bc-3fa5-501b9f154a47","Lieu","Hébergement","Hôtellerie","Paris","75008","75056","Paris","Île-de-France","48.871784","2.3233075","https://hotel-madeleine-haussmann.com/fr/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.173Z"
"Adagio Paris Haussmann Champs-Elysées","57e6a6ae-620f-79f9-eff2-501ba01f0c42","Lieu","Hébergement","Hébergement collectif","Paris","75008","75056","Paris","Île-de-France","48.875008","2.3133361","https://www.adagio-city.com/fr/hotel-6793-aparthotel-adagio-paris-haussmann/index.shtml","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.176Z"
"Novotel Paris Centre Gare Montparnasse","9cc01da6-7717-023f-9895-501b9f3b786c","Lieu","Hébergement","Hôtellerie","Paris","75015","75056","Paris","Île-de-France","48.838432","2.3149695","https://all.accor.com/hotel/5060/index.fr.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.175Z"
"Villa Marquis Melia Collection","a22647da-a83a-89e4-9175-501ba016e38f","Lieu","Hébergement","Hôtellerie","Paris","75008","75056","Paris","Île-de-France","48.865215","2.3045342","http://www.melia.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.173Z"
"Hilton Paris Opera","e8100cf6-439f-4489-b4eb-501b9f91bba4","Lieu","Hébergement","Hôtellerie","Paris","75008","75056","Paris","Île-de-France","48.8756","2.3255582","http://www.parisopera.hilton.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.171Z"
"Le Relais des Halles","2bdd6940-491a-bc8a-5754-501ba06c9921","Lieu","Hébergement","Hôtellerie","Paris","75001","75056","Paris","Île-de-France","48.863216","2.3489459","https://www.hotel-relais-des-halles.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.173Z"
"Hôtel Beaugrenelle Saint-Charles Tour Eiffel","6d19c5fe-6fee-c9cc-ea30-501ba0745abe","Lieu","Hébergement","Hôtellerie","Paris","75015","75056","Paris","Île-de-France","48.847233","2.2859352","http://www.beaugrenelleparis.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.172Z"
"Hôtel Regina Louvre","a5a90b27-3968-24de-c214-501ba0380eb2","Lieu","Hébergement","Hôtellerie","Paris","75001","75056","Paris","Île-de-France","48.863865","2.3325489","https://www.regina-hotel.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.174Z"
"Hôtel Exquis","c2501d70-cca6-0101-3622-501ba08fa48e","Lieu","Hébergement","Hôtellerie","Paris","75011","75056","Paris","Île-de-France","48.853714","2.3805544","https://hotelexquisparis.com/fr/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.176Z"
"Hôtel Alison","991571e5-1f9e-27c1-07d9-501ba0d6627c","Lieu","Hébergement","Hôtellerie","Paris","75008","75056","Paris","Île-de-France","48.871006","2.3202794","http://www.hotelalison.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.175Z"
"Adagio access Paris Reuilly","2d59e500-207e-3dca-9913-5284cedc9010","Lieu","Hébergement","Hébergement collectif","Paris","75012","75056","Paris","Île-de-France","48.849094","2.385781","http://www.adagio-city.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.171Z"
"Hôtel d'Angleterre Saint-Germain-des-Prés","53873d95-2bc0-0036-2b54-501ba086eb67","Lieu","Hébergement","Hôtellerie","Paris","75006","75056","Paris","Île-de-France","48.85593","2.3333077","http://www.hotel-dangleterre.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.173Z"
"Best Western premier Trocadéro La Tour","d4f6b96b-b0e8-aa1d-0c3c-501b9fa24c48","Lieu","Hébergement","Hôtellerie","Paris","75116","75056","Paris","Île-de-France","48.85831","2.2795048","http://www.trocaderolatour.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.177Z"
"Citadines Les Halles Paris","51ada98f-08cb-c3bc-02c7-501ba089dc46","Lieu","Hébergement","Hébergement collectif","Paris","75001","75056","Paris","Île-de-France","48.860703","2.3469937","https://www.discoverasr.com/fr/citadines/france/citadines-les-halles-paris","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.178Z"
"Les Plumes","a868e240-780d-3b3b-5c24-501ba070d328","Lieu","Hébergement","Hôtellerie","Paris","75009","75056","Paris","Île-de-France","48.876625","2.3433347","http://www.lesplumeshotel.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.177Z"
"Hotel Paris Bastille Boutet – MGallery","2bb32069-295b-562d-9ea0-568114b7aade","Lieu","Hébergement","Hôtellerie","Paris","75011","75056","Paris","Île-de-France","48.851913","2.384029","https://www.hotel-paris-bastille-boutet.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.172Z"
"Maison Colbert Member of Melia Collection","9f36d227-9cb1-2a42-50c4-501ba095fbae","Lieu","Hébergement","Hôtellerie","Paris","75005","75056","Paris","Île-de-France","48.851524","2.3486679","https://www.melia.com/fr/hotels/france/paris/maison-colbert-melia-collection","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.173Z"
"Hôtel Saint-Roch","30a276ad-ef7b-db69-7e5c-501ba0e56df7","Lieu","Hébergement","Hôtellerie","Paris","75001","75056","Paris","Île-de-France","48.865757","2.332409","http://www.hotelsaintroch-paris.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.174Z"
"Hôtel Fouquet’s Paris","ccd28e35-6c1d-b70e-0322-501b9f2b7672","Lieu","Hébergement","Hôtellerie","Paris","75008","75056","Paris","Île-de-France","48.87106","2.3013847","https://www.hotelsbarriere.com/collection-fouquet-s/paris","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.176Z"
"Maison Souquet","2b5fd9f9-bb7f-c8d7-0f7e-559b8f9bd491","Lieu","Hébergement","Hôtellerie","Paris","75009","75056","Paris","Île-de-France","48.883606","2.3314855","https://www.maisonsouquet.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.174Z"
"Hôtel Saint-Cyr Étoile","be44da84-233e-cc68-0c2b-501ba024c0ef","Lieu","Hébergement","Hôtellerie","Paris","75017","75056","Paris","Île-de-France","48.88047","2.2855706","http://www.hotelstcyr-paris.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.171Z"
"Les Bulles de Paris","41663b92-517b-da3e-309c-501ba06109a7","Lieu","Hébergement","Hôtellerie","Paris","75005","75056","Paris","Île-de-France","48.849174","2.3472314","http://www.lesbullesdeparis.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.177Z"
"Best Western Hôtel Au Trocadéro","d1f9bee0-ba61-7b21-dc4e-501b9fb39fbd","Lieu","Hébergement","Hôtellerie","Paris","75116","75056","Paris","Île-de-France","48.86358229","2.286789335","http://www.hotelautrocadero.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.171Z"
"Hôtel de France Invalides","77100765-d0b2-9a51-48b0-501ba0839680","Lieu","Hébergement","Hôtellerie","Paris","75007","75056","Paris","Île-de-France","48.853504","2.3092966","http://www.hoteldefrance.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.175Z"
"Ritz Paris","81c55576-f6c8-363a-c71a-501b9fb34624","Lieu","Hébergement","Hôtellerie","Paris","75001","75056","Paris","Île-de-France","48.8681","2.3288932","https://www.ritzparis.com/fr-FR","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.172Z"
"Residhome Paris Opéra","352485f6-5ac2-649e-c2a2-501ba00a0ff9","Lieu","Hébergement","Hébergement collectif","Paris","75009","75056","Paris","Île-de-France","48.874744","2.3290896","https://www.myresidhome.com/paris/residhome-paris-opera/apparthotel-residence-hoteliere.html","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.173Z"
"Sofitel Paris Baltimore","5a00e1da-7bf0-dc53-ef98-501ba004da19","Lieu","Hébergement","Hôtellerie","Paris","75116","75056","Paris","Île-de-France","48.86642","2.289296","https://sofitel.accor.com/hotel/2789/index.fr.shtml?dateIn=&nights=1&compositions=1&stayplus=false#","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.179Z"
"Campanile Paris XII - Bercy Village","97c2fe55-a1b4-7856-7397-501b9fbbd601","Lieu","Hébergement","Hôtellerie","Paris","75012","75056","Paris","Île-de-France","48.83511","2.387644","https://www.hotelbercy.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.173Z"
"Le Méridien Paris Arc de Triomphe","ce704c09-8ae5-94b0-45b0-501b9fc6c774","Lieu","Hébergement","Hôtellerie","Paris","75017","75056","Paris","Île-de-France","48.879444","2.2848504","https://www.marriott.com/en-us/hotels/parmd-le-meridien-paris-arc-de-triomphe/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.175Z"
"Hôtel Harvey","86b57f4c-4e79-9d6c-557c-501ba021cf0c","Lieu","Hébergement","Hôtellerie","Paris","75017","75056","Paris","Île-de-France","48.87788","2.286565","http://www.hotel-harvey.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.179Z"
"Hôtel Pastel Paris","7a4acb7d-2b21-84a1-1dde-501ba0341d8e","Lieu","Hébergement","Hôtellerie","Paris","75116","75056","Paris","Île-de-France","48.868347","2.289133","http://hotelpastelparis.com/fr/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.172Z"
"Fraser Suites Le Claridge Champs-Élysées","89efc5ad-de7d-39c4-2ec9-501b9f4fb11f","Lieu","Hébergement","Hébergement collectif","Paris","75008","75056","Paris","Île-de-France","48.871082","2.3048446","https://www.frasershospitality.com/fr/france/paris/fraser-suites-le-claridge-champs-elysees-paris/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.173Z"
"Hôtel Appia La Fayette","c7bd019b-bbf3-9ffe-5390-501ba0213f90","Lieu","Hébergement","Hôtellerie","Paris","75010","75056","Paris","Île-de-France","48.87839","2.3568225","https://www.hotelappia.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.175Z"
"Hôtel André Latin","2857ce5c-1921-f7f4-3aea-501b9f84a7d0","Lieu","Hébergement","Hôtellerie","Paris","75005","75056","Paris","Île-de-France","48.842873","2.3426082","http://www.hotelandrelatin.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.176Z"
"Hôtel Le Marquis","3e4a50b7-6cd9-5faa-ed25-501ba001c69c","Lieu","Hébergement","Hôtellerie","Paris","75015","75056","Paris","Île-de-France","48.85163","2.2978508","http://www.lemarquisparis.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.176Z"
"Hôtel de Seine","ed36ab53-4060-22e9-571f-501ba081a190","Lieu","Hébergement","Hôtellerie","Paris","75006","75056","Paris","Île-de-France","48.85437","2.3366933","http://www.hoteldeseine.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.175Z"
"Kyriad Paris 13 - Italie Gobelins","9ab6db75-2fcb-057b-3dbf-501b9f9fcffc","Lieu","Hébergement","Hôtellerie","Paris","75013","75056","Paris","Île-de-France","48.83378","2.354974","http://www.kyriad-paris-13-italie-gobelins.fr/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.176Z"
"Hotel Paris Opéra managed by Meliá","9dc3d888-9849-d018-0f5f-501ba05bdf8c","Lieu","Hébergement","Hôtellerie","Paris","75002","75056","Paris","Île-de-France","48.871387","2.3426626","http://www.melia.com/en/hotels/france/paris/tryp-paris-opera-hotel/index.html","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.173Z"
"Le Pavillon des Lettres","359eee58-0c8a-c695-c8d1-501ba06e2539","Lieu","Hébergement","Hôtellerie","Paris","75008","75056","Paris","Île-de-France","48.871372","2.3181217","http://www.pavillondeslettres.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.174Z"
"Hôtel Le Walt","3cc8b147-d1ea-f594-f439-501ba0ab2a24","Lieu","Hébergement","Hôtellerie","Paris","75007","75056","Paris","Île-de-France","48.854748","2.306657","http://www.lewaltparis.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.178Z"
"Le Cinq Codet","ea700610-a21d-33a2-1a44-54bd0996fe57","Lieu","Hébergement","Hôtellerie","Paris","75007","75056","Paris","Île-de-France","48.854992","2.3083725","https://lecinqcodet.com/fr/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.175Z"
"Hôtel Thoumieux","e89ae547-ea56-32f3-0605-501ba046a3fb","Lieu","Hébergement","Hôtellerie","Paris","75007","75056","Paris","Île-de-France","48.8596","2.3088076","http://www.thoumieux.fr/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.174Z"
"Renaissance Paris Vendôme Hôtel","43377de4-e148-80e0-c04c-501b9ff06f17","Lieu","Hébergement","Hôtellerie","Paris","75001","75056","Paris","Île-de-France","48.86548","2.3295977","http://renaissanceparisvendome.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.174Z"
"Hôtel Colisée","a82f8476-0616-b012-ea88-501b9fd18115","Lieu","Hébergement","Hôtellerie","Paris","75008","75056","Paris","Île-de-France","48.870434","2.307654","https://www.hotelcolisee.paris/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.173Z"
"Hôtel Le Clément","4f380824-703b-74f1-0bd7-501ba06e4633","Lieu","Hébergement","Hôtellerie","Paris","75006","75056","Paris","Île-de-France","48.852562","2.3362195","https://www.hotel-clement.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.172Z"
"Paris Marriott Rive Gauche Hotel & Conference Center","3fed4f09-8492-b6b2-8b6f-501b9fed6e9e","Lieu","Hébergement","Hôtellerie","Paris","75014","75056","Paris","Île-de-France","48.83162","2.3398066","https://www.marriott.com/hotels/travel/parst-paris-marriott-rive-gauche-hotel-and-conference-center/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.175Z"
"Hôtel Saint-Germain","e58d6de8-be49-ec0c-b624-501ba0b19b4c","Lieu","Hébergement","Hôtellerie","Paris","75007","75056","Paris","Île-de-France","48.854767","2.3241675","http://www.hotel-saint-germain.fr/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.179Z"
"Le Roch Hotel & Spa","a0a516a3-8fb2-e963-6a12-56a750b059a5","Lieu","Hébergement","Hôtellerie","Paris","75001","75056","Paris","Île-de-France","48.86619","2.3328915","http://www.leroch-hotel.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.173Z"
"Albe Hôtel Saint-Michel","9af3f0ac-538c-6004-7e9f-501ba0633ff4","Lieu","Hébergement","Hôtellerie","Paris","75005","75056","Paris","Île-de-France","48.853092","2.3447165","https://www.hotelalbestmichel.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.172Z"
"REDIRECT 301 - Villa Royale - Machefert Group","bd5f6e27-6070-7a55-57c3-501b9fc3236d","Lieu","Hébergement","Hôtellerie","Paris","75009","75056","Paris","Île-de-France","48.8821227","2.336979","https://www.villa-royale.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.176Z"
"Pullman Paris Centre Bercy","db6897c6-356f-4650-b6ed-501b9fc97fa7","Lieu","Hébergement","Hôtellerie","Paris","75012","75056","Paris","Île-de-France","48.831375","2.3871858","https://www.pullmanpariscentrebercy.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.176Z"
"Hôtel Brighton","ed0ddf80-8d19-664b-9fe8-501b9fc562ee","Lieu","Hébergement","Hôtellerie","Paris","75001","75056","Paris","Île-de-France","48.86484","2.329055","http://www.esprit-de-france.com/fr/hotel-brighton-4-etoiles-paris","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.171Z"
"Choiseul Opéra","a06a6284-52c5-06b5-5b85-501ba0840497","Lieu","Hébergement","Hôtellerie","Paris","75002","75056","Paris","Île-de-France","48.869083","2.3324947","http://www.hotelchoiseuloperaparis.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.176Z"
"Hôtel Providence","1a83f87d-2951-d3dd-9c3f-5613e5eddee1","Lieu","Hébergement","Hôtellerie","Paris","75010","75056","Paris","Île-de-France","48.86932","2.356624","http://www.hotelprovidenceparis.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.174Z"
"Hôtel de JoBo","7fc1e863-b787-3a8e-4056-501ba05111a8","Lieu","Hébergement","Hôtellerie","Paris","75004","75056","Paris","Île-de-France","48.855476","2.3621047","http://www.hoteldejobo.paris/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.177Z"
"Hôtel Chavanel","ccb5a23b-0b1e-f019-8239-501ba016c20c","Lieu","Hébergement","Hôtellerie","Paris","75008","75056","Paris","Île-de-France","48.87217","2.3262453","http://www.hotelchavanel.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.173Z"
"Pulitzer Paris","52db36f3-0fb8-d0f6-b781-501ba0da49b1","Lieu","Hébergement","Hôtellerie","Paris","75009","75056","Paris","Île-de-France","48.873272","2.342887","http://www.hotelpulitzer.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.173Z"
"Hôtel Le Tourville","39c19d2b-7ce7-a26f-03af-501ba0f69769","Lieu","Hébergement","Hôtellerie","Paris","75007","75056","Paris","Île-de-France","48.85422","2.3078132","http://www.hoteltourville.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.172Z"
"Chalgrin Boutique Hôtel","51b7a572-e059-e118-bcaf-501b9f3ef4d6","Lieu","Hébergement","Hôtellerie","Paris","75116","75056","Paris","Île-de-France","48.87438","2.2897542","https://chalgrinboutiquehotel.com/en/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.179Z"
"B&B Hôtel Paris Porte des Lilas","43adbc0e-fd3a-2b13-3165-53514ceb4907","Lieu","Hébergement","Hôtellerie","Paris","75019","75056","Paris","Île-de-France","48.880043","2.4077556","https://www.hotel-bb.com/fr/hotel/paris-porte-des-lilas","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.173Z"
"Renaissance Paris Nobel Tour Eiffel","483910df-b2a1-9540-0b44-501b9f1bbb14","Lieu","Hébergement","Hôtellerie","Paris","75116","75056","Paris","Île-de-France","48.867256","2.2857141","https://www.marriott.com/hotels/travel/parsp-renaissance-paris-nobel-tour-eiffel-hotel/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.177Z"
"Hôtel du Louvre","f1e5c305-be88-e776-4741-501b9fcbab54","Lieu","Hébergement","Hôtellerie","Paris","75001","75056","Paris","Île-de-France","48.86299","2.3356855","https://www.hyatt.com/en-US/hotel/france/hotel-du-louvre/paraz","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.173Z"
"Hôtel Victor Hugo Paris Kléber","d6845c58-2145-cc3f-f3c6-501b9f2f367e","Lieu","Hébergement","Hôtellerie","Paris","75116","75056","Paris","Île-de-France","48.869133","2.289225","http://www.victorhugohotel.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.171Z"
"Hotel Cis Paris Ravel","f2ffb797-2999-20aa-81c8-501b9f194906","Lieu","Hébergement","Hôtellerie","Paris","75012","75056","Paris","Île-de-France","48.841835","2.4119532","https://www.hotel-cis-paris-ravel.com/fr","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.176Z"
"Campanile Paris 19 - La Villette","3f5d20d7-c5ee-bb3a-6eed-501b9f5694f5","Lieu","Hébergement","Hôtellerie","Paris","75019","75056","Paris","Île-de-France","48.893467","2.380025","http://campanile-paris-19-la-villette.fr/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.176Z"
"Villa Beaumarchais - Machefert Group","b0769539-039b-fad4-93aa-501b9fa7aec5","Lieu","Hébergement","Hôtellerie","Paris","75003","75056","Paris","Île-de-France","48.8591004","2.3668035","https://www.villa-beaumarchais.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.176Z"
"Le Rocroy Hôtel et Spa","49e2d2d2-c3fd-e824-5434-501b9f410e73","Lieu","Hébergement","Hôtellerie","Paris","75010","75056","Paris","Île-de-France","48.87962","2.3507512","https://www.lerocroy.com/fr/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.171Z"
"Best Western Plus Sydney Opéra","ba2f2d3d-b8ed-998c-3db1-501b9ffc7453","Lieu","Hébergement","Hôtellerie","Paris","75008","75056","Paris","Île-de-France","48.873386","2.3241012","https://www.hotelsydneyopera.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.172Z"
"Le Grand Hôtel Cayré","8d3294a7-d055-a4b5-6980-501b9fd94557","Lieu","Hébergement","Hôtellerie","Paris","75007","75056","Paris","Île-de-France","48.85528501","2.325527017","https://www.miirohotels.com/legrandhotelcayre","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.178Z"
"Meliá Paris Champs-Elysées","a3a020e2-ff5f-346c-369b-501ba0d8908d","Lieu","Hébergement","Hôtellerie","Paris","75116","75056","Paris","Île-de-France","48.86885","2.2827978","http://www.melia.com/fr/hotels/france/paris/melia-paris-champs-elysees/index.html","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.172Z"
"Hôtel Avalon Cosy","23df698d-1bda-b279-1250-501b9f6ac477","Lieu","Hébergement","Hôtellerie","Paris","75010","75056","Paris","Île-de-France","48.88081","2.3515017","https://www.avaloncosy.com/fr/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.175Z"
