"Nom","Identifiant","Type","Sous-type","Sous-type","Commune","Code postal","Code INSEE","Département","Région","Latitude","Longitude","Site internet","Créateur","Mise à jour","Mise à jour DATAtourisme"
"Grand Hôtel du Havre","67c4873a-96b6-11eb-9b53-0050569afc27","Lieu","Hébergement","Hôtellerie","Paris","75009","75056","Paris","Île-de-France","48.876556","2.3270051","https://grandhotelduhavre.com/fr/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.174Z"
"Hôtel Saint-André des Arts","3506302a-a8bb-11eb-9748-0050569afc27","Lieu","Hébergement","Hôtellerie","Paris","75006","75056","Paris","Île-de-France","48.85363","2.3389504","https://www.saintandredesarts.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.178Z"
"Auberge de Jeunesse Paris Yves Robert","4751223","Lieu","Hébergement","Hébergement collectif","Paris","75018","75056","Paris","Île-de-France","48.888115","2.362747","https://www.hifrance.org/auberges-de-jeunesse/paris-yves-robert/","Choose Paris Region","2025-12-17T00:00:00.000Z","2026-02-06T06:56:19.572Z"
"Le Bellune","3a000058-3d9f-11ee-aac6-0050569afc27","Lieu","Hébergement","Hôtellerie","Paris","75015","75056","Paris","Île-de-France","48.834175","2.2852063","https://www.lebelluneparis.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.174Z"
"Appart’City Collection Paris Gare de Lyon","101ef0c4-2d1d-11ee-9ff2-0050569afc27","Lieu","Hébergement","Hébergement collectif","Paris","75012","75056","Paris","Île-de-France","48.8425","2.3849444","https://www.appartcity.com/fr/destinations/ile-de-france/paris-1/paris-gare-de-lyon.html","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.172Z"
"Unlimited biking","747090","Produit,Lieu","Location,Commerce de détail,Prestataire de service","Location de matériel,Loueur de matériel","Paris 15e Arrondissement","75015","75115","Paris","Île-de-France","48.802547","2.124001","https://unlimitedbiking.com/versailles/","Office de Tourisme et des Congrès de Versailles Grand Parc","2026-02-11T00:00:00.000Z","2026-02-12T07:01:41.719Z"
"Hôtel - Ibis Budget Paris Porte de Montmartre","679737","Lieu","Hébergement","Hôtellerie","Paris","75018","75056","Paris","Île-de-France","48.901195","2.334092","http://www.accorhotels.com/","Agence POP – Plaine commune vous Ouvre ses Portes","2023-11-13T00:00:00.000Z","2026-02-06T06:56:19.563Z"
"Drawing House","7312980","Lieu","Restauration,Hébergement","Restaurant,Hôtellerie","Paris 14e Arrondissement","75014","75114","Paris","Île-de-France","48.83735","2.319941","https://www.drawinghouse.com/","Choose Paris Region","2025-04-03T00:00:00.000Z","2026-02-06T06:56:19.567Z"
"Aparthotel Adagio Paris Nation","7319157","Lieu","Hébergement","Hébergement collectif","Paris","75012","75056","Paris","Île-de-France","48.840577","2.397677","https://www.adagio-city.com/fr/hotel-a0x1-aparthotel-adagio-paris-nation.shtml","Choose Paris Region","2025-04-16T00:00:00.000Z","2026-02-06T06:56:19.580Z"
"Novotel Suites Paris Expo Porte de Versailles","c8d95a82-422c-11e8-ae3c-0050569a22ea","Lieu","Hébergement","Hôtellerie","Paris","75014","75056","Paris","Île-de-France","48.827614","2.304609","https://all.accor.com/hotel/9400/index.fr.shtml","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.177Z"
"Hôtel - Mercure Paris Philharmonie La Villette","679713","Lieu","Restauration,Hébergement","Restaurant,Hôtellerie","Paris","75019","75056","Paris","Île-de-France","48.888863","2.394161","https://all.accor.com/hotel/8816/index.fr.shtml","Agence POP – Plaine commune vous Ouvre ses Portes","2025-08-08T00:00:00.000Z","2026-02-06T06:56:19.572Z"
"Hôtel Castille Paris – Starhotels Collezione","d6d10e2f-c9c6-19a8-3bd1-501ba0f9ed0f","Lieu","Hébergement","Hôtellerie","Paris","75001","75056","Paris","Île-de-France","48.86839","2.326849","https://www.starhotelscollezione.com/en/our-hotels/castille-paris/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.171Z"
"Drawing House","1ddfb848-d844-11ed-aff4-0050569afc27","Lieu","Hébergement","Hôtellerie","Paris","75014","75056","Paris","Île-de-France","48.837284","2.3200629","http://www.drawinghouse.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.175Z"
"Padam","559d27b6-e366-11ed-be45-0050569afc27","Lieu","Hébergement","Hôtellerie","Paris","75116","75056","Paris","Île-de-France","48.86869","2.2979038","https://www.padam-hotel.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.175Z"
"SO/ Paris","181b1b42-13db-11ed-948a-0050569afc27","Lieu","Hébergement","Hôtellerie","Paris","75004","75056","Paris","Île-de-France","48.850006","2.3624566","https://soparis.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.175Z"
"Hôtel - B&B Home Paris Nord 18ème","679747","Lieu","Hébergement","Hôtellerie","Paris","75018","75056","Paris","Île-de-France","48.901755","2.359628","https://www.hotel-bb.com/fr/hotel/paris-nord-18-eme","Agence POP – Plaine commune vous Ouvre ses Portes","2026-02-03T00:00:00.000Z","2026-02-05T07:10:57.987Z"
"Niepce Paris Curio Collection by Hilton","f189e2d0-de5e-11e7-b8e7-0050569a22ea","Lieu","Hébergement","Hôtellerie","Paris","75014","75056","Paris","Île-de-France","48.834995","2.317975","https://www.niepceparis.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.174Z"
"Fauchon l'hôtel","5071331","Lieu","Hébergement","Hôtellerie","Paris","75008","75056","Paris","Île-de-France","48.875015","2.319766","https://fr.hotel-fauchon-paris.fr/","Choose Paris Region","2025-08-26T00:00:00.000Z","2026-02-06T06:56:19.577Z"
"Hôtel - Maison Montmartre","6073071","Lieu","Restauration,Hébergement","Restaurant,Hôtellerie","Paris","75018","75056","Paris","Île-de-France","48.900536","2.335784","https://www.theoriginalshotels.com/hotels/paris-maison-montmartre","Agence POP – Plaine commune vous Ouvre ses Portes","2025-08-07T00:00:00.000Z","2026-02-06T06:56:19.579Z"
"Hôtel Le M","d95573b1-cb57-5870-2a6f-501ba0708ebb","Lieu","Hébergement","Hôtellerie","Paris","75014","75056","Paris","Île-de-France","48.839684","2.3234017","http://www.hotelmparis.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.173Z"
"Hôtel Fabric","4cb21af5-2c0d-7049-564d-5200b2d6b3a0","Lieu","Hébergement","Hôtellerie","Paris","75011","75056","Paris","Île-de-France","48.86307","2.3728645","http://www.hotelfabric.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.173Z"
"Hôtel Elysia","8088ed22-a512-11ec-ac61-0050569afc27","Lieu","Hébergement","Hôtellerie","Paris","75008","75056","Paris","Île-de-France","48.873707","2.306219","https://www.hotelelysia.fr/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.174Z"
"Hôtel Moderniste","a9ebdac6-dc0d-11ec-8856-0050569afc27","Lieu","Hébergement","Hôtellerie","Paris","75015","75056","Paris","Île-de-France","48.83582","2.2924075","http://www.hotelmoderniste.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.179Z"
"Intercontinental Paris Champs-Elysées Etoile","8a349f6c-e924-0ca6-ca56-501b9f2baa77","Lieu","Hébergement","Hôtellerie","Paris","75008","75056","Paris","Île-de-France","48.87059099","2.298022975","https://www.ihg.com/intercontinental/hotels/fr/fr/paris/parat/hoteldetail","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.178Z"
"Hôtel Le Bellechasse Saint-Germain","e0f25430-70aa-7b8c-fd06-501ba025dbed","Lieu","Hébergement","Hôtellerie","Paris","75007","75056","Paris","Île-de-France","48.859642","2.324111","http://www.lebellechasse.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.172Z"
"Maison Cardinal Furstemberg","53674e4e-b037-11ec-a10c-0050569afc27","Lieu","Hébergement","Hébergement locatif","Paris","75006","75056","Paris","Île-de-France","48.854256","2.3360665","https://maisoncardinalfurstemberg.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.179Z"
"Hotel Camille Paris Gare de Lyon, Tapestry Collection by Hilton","7cab74f2-9e1b-11ec-90b8-0050569afc27","Lieu","Hébergement","Hôtellerie","Paris","75012","75056","Paris","Île-de-France","48.846288","2.371953038","https://www.hilton.com/en/hotels/parhcup-hotel-camille-paris-gare-de-lyon/?SEO_id=GMB-EMEA-UP-PARHCUP","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.177Z"
